measureNumber,beatNumber,Offset,Chord,NormalForm,PCsInNormalForm,File,Composer
1,1.000,0,<music21.chord.Chord B0 B2 F#4 B5>,"[0, 5]","[6, 11]",Part_Fuer_Alina.mxl,Part
2,1.000,4,<music21.chord.Chord B4 C#6>,"[0, 2]","[11, 1]",Part_Fuer_Alina.mxl,Part
2,2.000,5,<music21.chord.Chord B4 D6>,"[0, 3]","[11, 2]",Part_Fuer_Alina.mxl,Part
3,1.000,9,<music21.chord.Chord D5 E6>,"[0, 2]","[2, 4]",Part_Fuer_Alina.mxl,Part
3,1.333,10,<music21.chord.Chord D5 F#6>,"[0, 4]","[2, 6]",Part_Fuer_Alina.mxl,Part
3,1.667,11,<music21.chord.Chord D5 F#6>,"[0, 4]","[2, 6]",Part_Fuer_Alina.mxl,Part
4,1.000,15,<music21.chord.Chord D5 E6>,"[0, 2]","[2, 4]",Part_Fuer_Alina.mxl,Part
4,2.000,16,<music21.chord.Chord B4 D6>,"[0, 3]","[11, 2]",Part_Fuer_Alina.mxl,Part
4,3.000,17,<music21.chord.Chord B4 C#6>,"[0, 2]","[11, 1]",Part_Fuer_Alina.mxl,Part
4,4.000,18,<music21.chord.Chord F#4 B5>,"[0, 5]","[6, 11]",Part_Fuer_Alina.mxl,Part
5,1.000,22,<music21.chord.Chord D5 F#6>,"[0, 4]","[2, 6]",Part_Fuer_Alina.mxl,Part
5,2.000,23,<music21.chord.Chord D5 E6>,"[0, 2]","[2, 4]",Part_Fuer_Alina.mxl,Part
5,3.000,24,<music21.chord.Chord D5 F#6>,"[0, 4]","[2, 6]",Part_Fuer_Alina.mxl,Part
5,4.000,25,<music21.chord.Chord B4 D6>,"[0, 3]","[11, 2]",Part_Fuer_Alina.mxl,Part
5,5.000,26,<music21.chord.Chord D5 E6>,"[0, 2]","[2, 4]",Part_Fuer_Alina.mxl,Part
6,1.000,30,<music21.chord.Chord B4 D6>,"[0, 3]","[11, 2]",Part_Fuer_Alina.mxl,Part
6,1.333,31,<music21.chord.Chord D5 F#6>,"[0, 4]","[2, 6]",Part_Fuer_Alina.mxl,Part
6,1.667,32,<music21.chord.Chord F#5 B6>,"[0, 5]","[6, 11]",Part_Fuer_Alina.mxl,Part
6,2.000,33,<music21.chord.Chord B5 C#7>,"[0, 2]","[11, 1]",Part_Fuer_Alina.mxl,Part
6,2.333,34,<music21.chord.Chord F#5 B6>,"[0, 5]","[6, 11]",Part_Fuer_Alina.mxl,Part
6,2.667,35,<music21.chord.Chord B4 D6>,"[0, 3]","[11, 2]",Part_Fuer_Alina.mxl,Part
7,1.000,39,<music21.chord.Chord D5 E6>,"[0, 2]","[2, 4]",Part_Fuer_Alina.mxl,Part
7,2.000,40,<music21.chord.Chord B4 D6>,"[0, 3]","[11, 2]",Part_Fuer_Alina.mxl,Part
7,3.000,41,<music21.chord.Chord F#4 B5>,"[0, 5]","[6, 11]",Part_Fuer_Alina.mxl,Part
7,4.000,42,<music21.chord.Chord B4 C#6>,"[0, 2]","[11, 1]",Part_Fuer_Alina.mxl,Part
7,5.000,43,<music21.chord.Chord D5 F#6>,"[0, 4]","[2, 6]",Part_Fuer_Alina.mxl,Part
7,6.000,44,<music21.chord.Chord B4 D6>,"[0, 3]","[11, 2]",Part_Fuer_Alina.mxl,Part
7,7.000,45,<music21.chord.Chord D5 E6>,"[0, 2]","[2, 4]",Part_Fuer_Alina.mxl,Part
8,1.000,49,<music21.chord.Chord D5 F#6>,"[0, 4]","[2, 6]",Part_Fuer_Alina.mxl,Part
8,2.000,50,<music21.chord.Chord B5 D7>,"[0, 3]","[11, 2]",Part_Fuer_Alina.mxl,Part
8,3.000,51,<music21.chord.Chord B5 C#7>,"[0, 2]","[11, 1]",Part_Fuer_Alina.mxl,Part
8,4.000,52,<music21.chord.Chord F#5 B6>,"[0, 5]","[6, 11]",Part_Fuer_Alina.mxl,Part
8,5.000,53,<music21.chord.Chord F#4 B5>,"[0, 5]","[6, 11]",Part_Fuer_Alina.mxl,Part
8,6.000,54,<music21.chord.Chord D5 F#6>,"[0, 4]","[2, 6]",Part_Fuer_Alina.mxl,Part
8,7.000,55,<music21.chord.Chord F#5 G6>,"[0, 1]","[6, 7]",Part_Fuer_Alina.mxl,Part
8,8.000,56,<music21.chord.Chord F#5 A6>,"[0, 3]","[6, 9]",Part_Fuer_Alina.mxl,Part
9,1.000,60,<music21.chord.Chord B4 D6>,"[0, 3]","[11, 2]",Part_Fuer_Alina.mxl,Part
9,2.000,61,<music21.chord.Chord D5 E6>,"[0, 2]","[2, 4]",Part_Fuer_Alina.mxl,Part
9,3.000,62,<music21.chord.Chord F#4 B5>,"[0, 5]","[6, 11]",Part_Fuer_Alina.mxl,Part
9,4.000,63,<music21.chord.Chord B4 C#6>,"[0, 2]","[11, 1]",Part_Fuer_Alina.mxl,Part
9,5.000,64,<music21.chord.Chord B4 D6>,"[0, 3]","[11, 2]",Part_Fuer_Alina.mxl,Part
9,6.000,65,<music21.chord.Chord B4 C#6>,"[0, 2]","[11, 1]",Part_Fuer_Alina.mxl,Part
9,7.000,66,<music21.chord.Chord F#4 B5>,"[0, 5]","[6, 11]",Part_Fuer_Alina.mxl,Part
